Service,UnblendedCost,UsageQuantity,UsageType,Region,Tier,InvoiceID,RecordType
AmazonEC2,38.6383,557.92,MetricMonitorUsage,ap-south-1,tier3,INV-1000,LineItem
AmazonDynamoDB,43.9032,608.94,DataTransfer-Out-Bytes,us-east-1,tier3,INV-1001,LineItem
AmazonEBS,20.2729,296.7,MetricMonitorUsage,eu-west-1,tier3,INV-1002,LineItem
AmazonS3,28.9775,658.23,DataTransfer-Out-Bytes,sa-east-1,tier3,INV-1003,LineItem
AmazonCloudWatch,24.9608,51.15,TimedStorage-ByteHrs,eu-west-1,tier3,INV-1004,LineItem
AmazonRDS,28.4286,606.49,PublishUsage,sa-east-1,tier3,INV-1005,LineItem
AmazonEBS,40.1915,622.73,Requests-Tier2,us-east-1,tier3,INV-1006,LineItem
AmazonSQS,21.0078,35.14,MetricMonitorUsage,us-east-1,tier3,INV-1007,LineItem
AmazonCloudWatch,33.5168,774.01,BoxUsage:t3.small,ap-south-1,tier3,INV-1008,LineItem
AmazonVPC,16.677,375.7,Requests-Tier2,us-west-2,tier3,INV-1009,LineItem
AmazonEBS,21.412,181.6,DataTransfer-Out-Bytes,eu-west-1,tier3,INV-1010,LineItem
AmazonS3,19.6775,666.16,Lambda-GB-Second,ap-south-1,tier3,INV-1011,LineItem
AmazonVPC,37.4534,643.83,WriteCapacityUnit-Hrs,us-east-1,tier3,INV-1012,LineItem
AWSLambda,12.9819,546.03,PublishUsage,us-west-2,tier3,INV-1013,LineItem
AmazonVPC,0.3412,629.56,BoxUsage:t3.small,sa-east-1,tier3,INV-1014,LineItem
AmazonS3,31.7354,624.61,MetricMonitorUsage,ap-south-1,tier3,INV-1015,LineItem
AmazonCloudWatch,6.2995,91.71,TimedStorage-ByteHrs,eu-west-1,tier3,INV-1016,LineItem
AmazonCloudWatch,21.2046,452.23,TimedStorage-ByteHrs,ap-south-1,tier3,INV-1017,LineItem
AmazonEC2,24.9155,447.41,MetricMonitorUsage,eu-west-1,tier3,INV-1018,LineItem
AmazonVPC,1.3965,349.43,MetricMonitorUsage,us-west-2,tier3,INV-1019,LineItem
AmazonSQS,38.4046,187.23,DataTransfer-Out-Bytes,us-west-2,tier3,INV-1020,LineItem
AmazonDynamoDB,12.6695,234.95,MetricMonitorUsage,us-east-1,tier3,INV-1021,LineItem
AmazonDynamoDB,35.2776,531.48,ReadCapacityUnit-Hrs,us-east-1,tier3,INV-1022,LineItem
AmazonCloudWatch,36.6328,133.66,Requests-Tier2,eu-west-1,tier3,INV-1023,LineItem
AWSLambda,32.5089,369.56,BoxUsage:t3.micro,us-east-1,tier3,INV-1024,LineItem
AmazonEC2,22.552,121.93,WriteCapacityUnit-Hrs,us-east-1,tier3,INV-1025,LineItem
AmazonDynamoDB,17.1521,241.28,WriteCapacityUnit-Hrs,eu-west-1,tier3,INV-1026,LineItem
AmazonDynamoDB,16.2879,70.21,WriteCapacityUnit-Hrs,ap-south-1,tier3,INV-1027,LineItem
AWSLambda,40.887,559.8,BoxUsage:t3.small,us-west-2,tier3,INV-1028,LineItem
AmazonSQS,43.6132,623.02,TimedStorage-ByteHrs,us-west-2,tier3,INV-1029,LineItem
AmazonRDS,12.2581,77.2,WriteCapacityUnit-Hrs,ap-south-1,tier3,INV-1030,LineItem
AmazonDynamoDB,20.5154,161.97,TimedStorage-ByteHrs,sa-east-1,tier3,INV-1031,LineItem
AmazonEBS,7.963,685.31,Requests-Tier1,sa-east-1,tier3,INV-1032,LineItem
AmazonCloudWatch,32.3786,345.73,BoxUsage:t3.micro,ap-south-1,tier3,INV-1033,LineItem
AWSLambda,29.2466,67.65,ReadCapacityUnit-Hrs,us-east-1,tier3,INV-1034,LineItem
AmazonCloudWatch,1.8822,395.24,MetricMonitorUsage,eu-west-1,tier3,INV-1035,LineItem
AmazonS3,4.6621,470.16,Requests-Tier1,ap-south-1,tier3,INV-1036,LineItem
AmazonS3,41.6312,464.89,MetricMonitorUsage,us-east-1,tier3,INV-1037,LineItem
AmazonDynamoDB,1.0359,766.85,Requests-Tier2,ap-south-1,tier3,INV-1038,LineItem
AmazonCloudWatch,35.2253,66.28,TimedStorage-ByteHrs,eu-west-1,tier3,INV-1039,LineItem
AmazonRDS,42.2028,457.43,TimedStorage-ByteHrs,ap-south-1,tier3,INV-1040,LineItem
AmazonDynamoDB,12.0212,265.32,Lambda-GB-Second,eu-west-1,tier3,INV-1041,LineItem
AmazonCloudWatch,0.9823,661.05,Lambda-GB-Second,sa-east-1,tier3,INV-1042,LineItem
AmazonDynamoDB,6.3198,443.27,BoxUsage:t3.micro,sa-east-1,tier3,INV-1043,LineItem
AWSLambda,12.6627,527.57,BoxUsage:t3.small,ap-south-1,tier3,INV-1044,LineItem
AmazonVPC,34.5915,86.28,WriteCapacityUnit-Hrs,ap-south-1,tier3,INV-1045,LineItem
AmazonVPC,1.6932,443.93,PublishUsage,sa-east-1,tier3,INV-1046,LineItem
AmazonRDS,37.3422,646.62,Lambda-GB-Second,us-west-2,tier3,INV-1047,LineItem
AmazonSQS,13.0984,412.09,Requests-Tier1,us-west-2,tier3,INV-1048,LineItem
AmazonSQS,42.1226,131.77,PublishUsage,us-west-2,tier3,INV-1049,LineItem
AmazonCloudWatch,44.657,713.35,BoxUsage:t3.micro,us-west-2,tier3,INV-1050,LineItem
AmazonDynamoDB,40.0868,714.77,BoxUsage:t3.small,ap-south-1,tier3,INV-1051,LineItem
AmazonS3,34.7428,529.36,Lambda-GB-Second,eu-west-1,tier3,INV-1052,LineItem
AWSLambda,4.2601,597.46,Requests-Tier2,us-west-2,tier3,INV-1053,LineItem
AWSLambda,10.8513,98.29,Requests-Tier1,us-east-1,tier3,INV-1054,LineItem
AmazonSQS,6.9063,143.5,BoxUsage:t3.micro,sa-east-1,tier3,INV-1055,LineItem
AWSLambda,8.8476,248.33,ReadCapacityUnit-Hrs,ap-south-1,tier3,INV-1056,LineItem
AmazonSNS,43.7325,400.64,SQS-APIRequest,ap-south-1,tier3,INV-1057,LineItem
AmazonDynamoDB,10.3422,105.54,BoxUsage:t3.small,sa-east-1,tier3,INV-1058,LineItem
AmazonEC2,5.4912,405.11,BoxUsage:t3.micro,ap-south-1,tier3,INV-1059,LineItem
AmazonSQS,8.9979,643.32,WriteCapacityUnit-Hrs,ap-south-1,tier3,INV-1060,LineItem
AmazonCloudWatch,33.2569,104.93,BoxUsage:t3.micro,ap-south-1,tier3,INV-1061,LineItem
AmazonDynamoDB,17.897,240.83,BoxUsage:t3.small,eu-west-1,tier3,INV-1062,LineItem
AmazonSQS,29.8323,764.5,BoxUsage:t3.small,eu-west-1,tier3,INV-1063,LineItem
AmazonCloudWatch,1.1284,444.2,Requests-Tier1,sa-east-1,tier3,INV-1064,LineItem
AmazonSQS,4.7743,112.36,BoxUsage:t3.small,ap-south-1,tier3,INV-1065,LineItem
AmazonEBS,26.826,746.43,TimedStorage-ByteHrs,us-east-1,tier3,INV-1066,LineItem
AmazonSQS,21.0375,627.83,WriteCapacityUnit-Hrs,sa-east-1,tier3,INV-1067,LineItem
