Service,UnblendedCost,UsageQuantity,UsageType,Region
AmazonS3,1.5794,459.3,Requests-Tier1,eu-west-1
AmazonS3,4.4912,70.98,Requests-Tier1,sa-east-1
AWSLambda,6.1471,73.94,Lambda-GB-Second,us-east-1
AmazonSQS,0.9514,331.3,SQS-APIRequest,us-west-2
AmazonDynamoDB,8.3282,197.42,WriteCapacityUnit-Hrs,eu-west-1
AmazonDynamoDB,9.3781,331.17,WriteCapacityUnit-Hrs,us-west-2
AmazonSNS,2.8197,286.29,PublishUsage,eu-west-1
AWSLambda,2.0726,143.08,Lambda-GB-Second,sa-east-1
AWSLambda,9.3932,219.51,Lambda-GB-Second,us-east-1
AmazonEC2,0.9366,71.03,DataTransfer-Out-Bytes,ap-south-1
AmazonEC2,4.7901,391.53,DataTransfer-Out-Bytes,sa-east-1
AmazonSNS,0.2581,308.54,PublishUsage,ap-south-1
AmazonEC2,1.2417,52.6,DataTransfer-Out-Bytes,us-west-2
AmazonCloudWatch,1.2266,307.58,MetricMonitorUsage,sa-east-1
AmazonCloudWatch,1.9684,166.45,MetricMonitorUsage,eu-west-1
AmazonEFS,340.23,314.17,TimedStorage-ByteHrs,us-east-1
AWSLambda,1.5235,458.09,Lambda-GB-Second,ap-south-1
AmazonSQS,0.4436,425.42,SQS-APIRequest,sa-east-1
AmazonSNS,0.3756,308.47,PublishUsage,eu-west-1
AWSLambda,8.9709,374.56,Lambda-GB-Second,sa-east-1
AmazonSNS,0.6645,233.89,PublishUsage,ap-south-1
AmazonS3,1.3144,119.09,Requests-Tier1,eu-west-1
AWSLambda,6.6933,433.88,Lambda-GB-Second,eu-west-1
AmazonEC2,7.596,458.26,DataTransfer-Out-Bytes,us-west-2
AmazonCloudWatch,3.981,144.79,MetricMonitorUsage,eu-west-1
AmazonEC2,2.5516,72.79,DataTransfer-Out-Bytes,sa-east-1
AmazonCloudWatch,5.2114,379.5,MetricMonitorUsage,us-east-1
AWSLambda,9.5525,146.17,Lambda-GB-Second,us-west-2
AmazonEC2,7.8944,359.16,DataTransfer-Out-Bytes,us-west-2
AmazonS3,2.5536,72.8,Requests-Tier1,sa-east-1
AmazonS3,0.632,336.45,Requests-Tier1,eu-west-1
AWSLambda,8.2574,53.53,Lambda-GB-Second,ap-south-1
AmazonDynamoDB,1.5864,373.65,WriteCapacityUnit-Hrs,us-west-2
AmazonDynamoDB,9.8612,84.32,WriteCapacityUnit-Hrs,eu-west-1
AWSLambda,6.6996,402.39,Lambda-GB-Second,sa-east-1
AmazonSNS,0.9873,290.03,PublishUsage,us-west-2
AmazonSNS,0.6065,27.64,PublishUsage,us-east-1
AmazonS3,1.1515,204.86,Requests-Tier1,eu-west-1
AmazonEC2,1.699,347.7,DataTransfer-Out-Bytes,ap-south-1
AmazonSNS,0.1517,55.46,PublishUsage,ap-south-1
AWSLambda,9.4873,127.44,Lambda-GB-Second,ap-south-1
AmazonSQS,2.3821,332.76,SQS-APIRequest,us-east-1
AmazonSNS,1.8382,437.41,PublishUsage,us-east-1
AmazonDynamoDB,4.956,144.88,WriteCapacityUnit-Hrs,sa-east-1
AmazonECS,621.88,456.51,Fargate-vCPU-Hours:perCPU,ap-south-1
AmazonSQS,1.9547,133.97,SQS-APIRequest,us-west-2
AmazonSNS,1.2004,343.19,PublishUsage,us-west-2
AmazonSNS,2.915,446.67,PublishUsage,us-west-2
AmazonEC2,9.7034,277.24,BoxUsage:t3.micro,ap-south-1
AmazonEC2,4.9997,388.93,BoxUsage:t3.micro,us-east-1
AmazonEC2,4.5631,286.64,DataTransfer-Out-Bytes,us-east-1
AWSLambda,2.7224,30.09,Lambda-GB-Second,sa-east-1
AmazonEC2,13.5877,228.43,BoxUsage:t3.micro,us-east-1
AmazonCloudWatch,1.24,268.5,MetricMonitorUsage,ap-south-1
AmazonSQS,1.0119,79.65,SQS-APIRequest,us-west-2
AmazonSNS,2.3796,64.93,PublishUsage,ap-south-1
AWSLambda,8.5694,29.56,Lambda-GB-Second,us-west-2
AmazonEC2,4.8868,400.94,DataTransfer-Out-Bytes,us-east-1
AWSLambda,9.6913,163.59,Lambda-GB-Second,ap-south-1
AWSLambda,5.1755,300.2,Lambda-GB-Second,ap-south-1
AmazonEC2,5.2338,43.14,DataTransfer-Out-Bytes,eu-west-1
AmazonEC2,4.9073,16.38,BoxUsage:t3.micro,eu-west-1
AWSLambda,6.8767,167.49,Lambda-GB-Second,ap-south-1
AmazonEC2,12.5511,77.49,BoxUsage:t3.micro,us-east-1
AmazonCloudWatch,1.1352,11.55,MetricMonitorUsage,us-east-1
AmazonCloudWatch,2.914,11.78,MetricMonitorUsage,eu-west-1
AmazonDynamoDB,5.9176,283.05,WriteCapacityUnit-Hrs,ap-south-1
AmazonS3,3.9194,321.6,Requests-Tier1,sa-east-1
AmazonSNS,2.2046,43.16,PublishUsage,us-east-1
AWSLambda,6.0206,100.69,Lambda-GB-Second,ap-south-1
AmazonSQS,1.9318,379.29,SQS-APIRequest,sa-east-1
AmazonSNS,0.9565,229.82,PublishUsage,sa-east-1
AmazonSQS,0.7984,72.37,SQS-APIRequest,us-east-1
AWSLambda,4.9608,95.55,Lambda-GB-Second,us-west-2
AWSLambda,0.9679,187.43,Lambda-GB-Second,eu-west-1
AmazonVPC,728.97,187.87,NatGateway-Bytes,us-west-2
AmazonSQS,1.0522,268.18,SQS-APIRequest,eu-west-1
AmazonDynamoDB,1.4514,243.84,WriteCapacityUnit-Hrs,ap-south-1
AmazonSQS,2.7177,489.81,SQS-APIRequest,sa-east-1
AmazonSNS,2.7906,386.28,PublishUsage,sa-east-1
AmazonSNS,2.3113,136.0,PublishUsage,sa-east-1
AmazonSQS,2.5301,21.04,SQS-APIRequest,ap-south-1
AmazonEC2,1.0459,59.43,DataTransfer-Out-Bytes,sa-east-1
AmazonEC2,10.7936,490.12,BoxUsage:t3.micro,us-west-2
AmazonS3,455.06,981.03,TimedStorage-ByteHrs,eu-west-1
AmazonEC2,6.2928,332.49,DataTransfer-Out-Bytes,eu-west-1
AWSLambda,0.7362,278.04,Lambda-GB-Second,sa-east-1
AmazonSQS,2.486,222.26,SQS-APIRequest,ap-south-1
AmazonEC2,7.4292,209.03,BoxUsage:t3.micro,us-east-1
AmazonCloudWatch,2.9043,416.51,MetricMonitorUsage,ap-south-1
AmazonEC2,4.6167,418.61,BoxUsage:t3.micro,sa-east-1
AmazonEC2,1.204,100.75,DataTransfer-Out-Bytes,ap-south-1
AmazonEC2,1.4477,462.63,DataTransfer-Out-Bytes,eu-west-1
AmazonEC2,421.18,889.94,EBS:VolumeUsage.gp2,eu-west-1
AmazonDynamoDB,2.2743,341.84,WriteCapacityUnit-Hrs,us-east-1
AmazonEC2,786.56,137.13,BoxUsage:m4.2xlarge,ap-south-1
AmazonSNS,2.2161,276.94,PublishUsage,us-west-2
AmazonDynamoDB,6.8777,32.84,WriteCapacityUnit-Hrs,us-west-2
AmazonEC2,6.4545,234.22,DataTransfer-Out-Bytes,sa-east-1
AmazonDynamoDB,5.4691,314.03,WriteCapacityUnit-Hrs,ap-south-1
AmazonEC2,4.8638,244.8,BoxUsage:t3.micro,us-west-2
AmazonRedshift,979.91,666.77,Node:ra3.xlplus,eu-west-1
AmazonSQS,1.2965,187.72,SQS-APIRequest,ap-south-1
AmazonEC2,0.6784,227.7,BoxUsage:t3.micro,ap-south-1
AmazonEC2,2.4819,315.51,DataTransfer-Out-Bytes,us-west-2
AWSLambda,0.8554,277.87,Lambda-GB-Second,us-west-2
AmazonElastiCache,561.61,500.46,NodeUsage:cache.r5.xlarge,us-east-1
AmazonSNS,0.5677,251.02,PublishUsage,eu-west-1
AmazonCloudWatch,5.0638,404.32,MetricMonitorUsage,us-west-2
AmazonSQS,0.2261,91.57,SQS-APIRequest,sa-east-1
AmazonSQS,0.2207,247.5,SQS-APIRequest,eu-west-1
AWSLambda,3.7953,295.87,Lambda-GB-Second,eu-west-1
AWSLambda,7.115,223.63,Lambda-GB-Second,us-east-1
AmazonEC2,64.84,532.94,ElasticIP:IdleAddress,sa-east-1
AmazonCloudWatch,1.2689,58.15,MetricMonitorUsage,eu-west-1
AWSLambda,7.9129,240.21,Lambda-GB-Second,sa-east-1
AmazonEC2,0.8145,448.62,DataTransfer-Out-Bytes,ap-south-1
AmazonCloudWatch,1.2557,479.48,MetricMonitorUsage,sa-east-1
AmazonSQS,0.6748,455.41,SQS-APIRequest,ap-south-1
AWSLambda,1.4659,416.9,Lambda-GB-Second,eu-west-1
AmazonSQS,0.4589,463.85,SQS-APIRequest,us-east-1
AmazonS3,0.2772,3.71,Requests-Tier1,ap-south-1
