ProviderName,ServiceName,ChargeDescription,BilledCost,ConsumedQuantity,RegionId,BillingCurrency
Microsoft Azure,Azure Monitor,Data ingestion,2.6311,611.37,westeurope,USD
Microsoft Azure,Azure Monitor,Data ingestion,3.091,639.6,westeurope,USD
AWS,Amazon Simple Queue Service,Requests,0.6141,480.08,us-west-2,USD
Google Cloud,Compute Engine,N2 instance core hours,968.22,745.06,asia-south1,USD
Microsoft Azure,Azure Monitor,Data ingestion,4.794,94.57,eastus,USD
AWS,Amazon Simple Notification Service,Notifications delivered,2.0196,71.08,us-west-2,USD
Microsoft Azure,Azure DNS,Hosted zone,0.9425,335.47,westeurope,USD
AWS,Amazon CloudFront,Data transfer out to internet,358.7,619.68,us-east-1,USD
Microsoft Azure,Azure Monitor,Data ingestion,5.4289,267.58,southeastasia,USD
AWS,Amazon Simple Queue Service,Requests,1.981,718.79,eu-west-1,USD
AWS,Amazon Simple Storage Service,"Timed storage, standard tier",769.92,217.16,eu-west-1,USD
AWS,Amazon Simple Queue Service,Requests,2.6344,291.99,us-west-2,USD
AWS,Amazon Simple Notification Service,Notifications delivered,0.2851,126.93,us-east-1,USD
Microsoft Azure,Azure Monitor,Data ingestion,5.4122,119.08,eastus,USD
Google Cloud,Cloud Logging,Log volume ingested,3.2848,350.89,asia-south1,USD
Microsoft Azure,Azure Monitor,Data ingestion,1.4184,307.27,eastus,USD
Google Cloud,Cloud Pub/Sub,Message delivery,1.3229,442.84,asia-south1,USD
Google Cloud,Cloud Logging,Log volume ingested,5.0774,748.98,europe-west1,USD
Google Cloud,Cloud Storage,"Standard storage, multi-region",726.56,384.02,asia-south1,USD
Microsoft Azure,Azure DNS,Hosted zone,1.6766,301.71,westeurope,USD
Microsoft Azure,Azure DNS,Hosted zone,1.7276,574.49,southeastasia,USD
AWS,Amazon SageMaker,"Notebook instance hours, ml.t3.xlarge",749.84,761.0,us-west-2,USD
Microsoft Azure,Azure Monitor,Data ingestion,1.0196,680.58,eastus,USD
AWS,Amazon Simple Queue Service,Requests,1.8116,510.02,us-east-1,USD
AWS,Amazon Simple Queue Service,Requests,0.5751,471.02,us-east-1,USD
AWS,Amazon Simple Queue Service,Requests,2.7639,549.19,us-west-2,USD
Microsoft Azure,Azure Monitor,Data ingestion,0.9953,364.0,eastus,USD
Microsoft Azure,Azure DNS,Hosted zone,0.1586,660.49,westeurope,USD
AWS,Amazon Simple Queue Service,Requests,3.7175,367.38,us-east-1,USD
Google Cloud,Cloud Pub/Sub,Message delivery,2.4539,354.41,us-central1,USD
Google Cloud,Cloud Spanner,Node compute hours,810.32,734.84,us-central1,USD
Microsoft Azure,Azure DNS,Hosted zone,1.3622,625.25,westeurope,USD
Google Cloud,Cloud Pub/Sub,Message delivery,1.865,797.63,us-central1,USD
Google Cloud,Cloud Pub/Sub,Message delivery,3.5423,703.48,asia-south1,USD
Microsoft Azure,Azure DNS,Hosted zone,0.6073,669.68,eastus,USD
Google Cloud,Cloud Pub/Sub,Message delivery,4.4885,86.03,europe-west1,USD
Google Cloud,Cloud Pub/Sub,Message delivery,0.3796,532.88,asia-south1,USD
Google Cloud,Cloud Pub/Sub,Message delivery,2.9894,520.45,europe-west1,USD
Microsoft Azure,Azure Monitor,Data ingestion,3.2557,717.73,eastus,USD
Microsoft Azure,Azure Monitor,Data ingestion,4.6073,24.17,eastus,USD
AWS,Amazon Simple Notification Service,Notifications delivered,2.8798,115.27,us-east-1,USD
AWS,Amazon Simple Notification Service,Notifications delivered,0.4149,621.64,eu-west-1,USD
Oracle Cloud Infrastructure,Oracle Autonomous Database,OCPU hours,635.43,728.6,us-ashburn-1,USD
Google Cloud,Cloud Logging,Log volume ingested,3.7966,525.36,asia-south1,USD
AWS,Amazon Simple Notification Service,Notifications delivered,1.4031,5.34,us-east-1,USD
Google Cloud,Cloud Logging,Log volume ingested,5.0797,42.27,asia-south1,USD
AWS,Amazon Simple Queue Service,Requests,1.84,641.38,us-west-2,USD
Google Cloud,Cloud Logging,Log volume ingested,2.0858,191.6,us-central1,USD
AWS,Amazon Simple Queue Service,Requests,3.1572,46.73,eu-west-1,USD
AWS,Amazon Simple Notification Service,Notifications delivered,2.6362,640.97,eu-west-1,USD
Google Cloud,Cloud Logging,Log volume ingested,5.658,617.91,asia-south1,USD
Google Cloud,Cloud Logging,Log volume ingested,1.5995,558.8,asia-south1,USD
Google Cloud,Cloud Pub/Sub,Message delivery,1.3023,33.08,asia-south1,USD
Google Cloud,Cloud Pub/Sub,Message delivery,0.8907,162.22,us-central1,USD
Microsoft Azure,Azure Monitor,Data ingestion,3.2169,404.12,eastus,USD
